=== Series G chunk 0 2026-08-01T20:26:20+00:00 ===
2026-08-01 20:26:20,967 [INFO] Running day-window pipeline against /workspace/alter_ego_calibrate_series_g.db (fleet_drift + geo_velocity enabled)
2026-08-01 20:26:25,197 [INFO] Generated 323996 events and 117 labels (S2 victim=user_engineer_8 excluded from S5)
2026-08-01 20:26:25,377 [INFO] Clearing database tables...
2026-08-01 20:26:34,174 [INFO] Streamed 15815 hist events to JSONL in 0.31s
2026-08-01 20:26:34,560 [INFO] Streamed 15815 recent events to JSONL in 0.39s
2026-08-01 20:26:35,299 [INFO] Entity user_finance_14 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,299 [INFO] Entity user_finance_7 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,300 [INFO] Entity user_finance_3 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,300 [INFO] Entity user_finance_0 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,301 [INFO] Entity user_hr_7 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,301 [INFO] Entity user_engineer_8 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,302 [INFO] Entity user_finance_5 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,302 [INFO] Entity user_hr_11 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,303 [INFO] Entity user_engineer_3 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,303 [INFO] Entity user_finance_13 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,304 [INFO] Entity user_engineer_14 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,304 [INFO] Entity user_finance_6 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:35,305 [INFO] Entity user_finance_1 drift: raw=0.00, normalized=0.00, accum=0.00
2026-08-01 20:26:38,845 [INFO] Processed window ending 2026-01-02
2026-08-01 20:26:39,052 [INFO] Chunked sweep: more windows remain (exit 2)
Connecting to: sqlite:////workspace/alter_ego_calibrate_series_g.db
CHUNK_EXIT:0
SWEEP_G COMPLETE
=== Series G chunk 1 2026-08-01T20:27:01+00:00 ===
2026-08-01 20:27:01,533 [INFO] Running day-window pipeline against /workspace/alter_ego_calibrate_series_g.db (fleet_drift + geo_velocity enabled)
2026-08-01 20:27:10,448 [INFO] Streamed 31561 hist events to JSONL in 0.70s
2026-08-01 20:27:11,008 [INFO] Streamed 31561 recent events to JSONL in 0.56s
2026-08-01 20:27:12,484 [INFO] Entity svc_ot_poll_4 drift: raw=0.01, normalized=0.00, accum=0.00
2026-08-01 20:27:12,486 [INFO] Entity user_engineer_2 drift: raw=2.11, normalized=0.87, accum=0.87
